date,shop_id,shop_type,city,new_user,total_sales_amount,transactions_count,due_amount,expenses_amount,subscription_purchased,subscription_package,app_sessions
2024-01-06 23:00:00,1014,Restaurant,Dhaka,0,12876,46,4478,4001,0,None,8
2024-01-07 00:00:00,1089,Grocery,Sylhet,0,7646,19,7884,6207,0,None,6
2024-01-07 01:00:00,1041,Grocery,Khulna,1,4925,28,1896,6556,1,None,5
2024-01-07 02:00:00,1123,Grocery,Sylhet,0,14969,26,7366,3080,0,None,20
2024-01-07 03:00:00,1178,Restaurant,Sylhet,0,1609,10,4427,4554,0,None,22
2024-01-07 04:00:00,1062,Grocery,Rajshahi,0,8405,47,5284,5834,0,None,6
2024-01-07 05:00:00,1095,Restaurant,Sylhet,1,16565,4,5361,1432,0,None,22
2024-01-07 06:00:00,1051,Electronics,Sylhet,0,456,55,899,2517,0,None,17
2024-01-07 07:00:00,1095,Grocery,Khulna,0,18305,2,641,2857,0,None,6
2024-01-07 08:00:00,1131,Restaurant,Rajshahi,0,15904,3,5346,505,0,None,17
2024-01-07 09:00:00,1150,Pharmacy,Sylhet,0,18007,7,4729,5805,1,None,5
2024-01-07 10:00:00,1142,Electronics,Chattogram,0,3190,55,3627,1096,0,None,23
2024-01-07 11:00:00,1170,Grocery,Dhaka,1,1395,16,6594,4179,1,None,17
2024-01-07 12:00:00,1028,Restaurant,Khulna,0,1444,31,195,4154,0,None,17
2024-01-07 13:00:00,1035,Restaurant,Sylhet,0,11615,10,1893,1044,0,None,13
2024-01-07 14:00:00,1012,Electronics,Chattogram,0,6966,19,3275,5577,0,None,22
2024-01-07 15:00:00,1159,Restaurant,Sylhet,1,11862,28,4050,2204,0,Basic,7
2024-01-07 16:00:00,1070,Pharmacy,Sylhet,0,16410,17,4553,3902,0,None,22
2024-01-07 17:00:00,1186,Restaurant,Rajshahi,0,17890,28,4925,1352,0,None,21
2024-01-07 18:00:00,1085,Electronics,Rajshahi,0,10513,19,2304,1596,0,None,6
2024-01-07 19:00:00,1027,Pharmacy,Rajshahi,0,2602,37,3600,575,0,None,14
2024-01-07 20:00:00,1065,Grocery,Chattogram,0,17080,23,3343,6980,0,None,16
2024-01-07 21:00:00,1169,Electronics,Sylhet,0,19983,20,2056,679,0,Basic,3
2024-01-07 22:00:00,1044,Restaurant,Dhaka,0,13475,13,2808,4298,0,Basic,9
2024-01-07 23:00:00,1061,Restaurant,Khulna,0,15115,13,7092,3712,0,None,15
2024-01-08 00:00:00,1184,Grocery,Rajshahi,0,1109,43,1224,3828,0,Standard,21
2024-01-08 01:00:00,1133,Restaurant,Rajshahi,0,16006,11,7226,1129,1,None,18
2024-01-08 02:00:00,1027,Grocery,Sylhet,0,572,48,886,3904,0,None,10
2024-01-08 03:00:00,1027,Restaurant,Sylhet,1,1544,15,392,3193,0,None,10
2024-01-08 04:00:00,1107,Grocery,Chattogram,1,8715,17,1675,317,0,None,23
2024-01-08 05:00:00,1043,Restaurant,Chattogram,1,2631,54,3190,5301,0,None,3
2024-01-08 06:00:00,1083,Electronics,Rajshahi,1,19368,50,7720,5734,0,None,1
2024-01-08 07:00:00,1029,Grocery,Sylhet,0,10785,28,2446,5892,1,None,3
2024-01-08 08:00:00,1189,Electronics,Dhaka,1,15662,19,3905,3696,0,None,5
2024-01-08 09:00:00,1074,Pharmacy,Khulna,0,1895,4,6474,4501,0,None,7
2024-01-08 10:00:00,1127,Electronics,Sylhet,0,2107,22,3338,2996,0,None,3
2024-01-08 11:00:00,1091,Restaurant,Sylhet,0,17364,22,3591,3594,0,None,4
2024-01-08 12:00:00,1189,Pharmacy,Chattogram,0,1219,55,3766,3209,0,None,17
2024-01-08 13:00:00,1128,Restaurant,Khulna,1,11657,37,2527,2542,0,None,3
2024-01-08 14:00:00,1120,Electronics,Rajshahi,0,1603,39,2181,678,0,Basic,23
2024-01-08 15:00:00,1026,Pharmacy,Sylhet,0,18010,34,3764,5366,0,None,4
2024-01-08 16:00:00,1189,Grocery,Rajshahi,1,9055,33,5011,1889,0,Basic,2
2024-01-08 17:00:00,1120,Restaurant,Sylhet,0,6068,44,5030,5643,0,None,14
2024-01-08 18:00:00,1115,Restaurant,Rajshahi,0,11039,42,354,1643,0,None,5
2024-01-08 19:00:00,1002,Restaurant,Khulna,1,210,40,2631,5455,0,Basic,21
2024-01-08 20:00:00,1102,Restaurant,Chattogram,0,6530,33,1521,5541,0,None,2
2024-01-08 21:00:00,1197,Pharmacy,Khulna,0,15261,12,2672,834,0,None,15
2024-01-08 22:00:00,1199,Restaurant,Dhaka,0,9430,2,3178,2241,0,None,11
2024-01-08 23:00:00,1154,Grocery,Chattogram,0,19409,59,2337,2355,0,None,22
2024-01-09 00:00:00,1136,Pharmacy,Khulna,1,7664,28,6968,1668,1,None,10
2024-01-09 01:00:00,1061,Grocery,Dhaka,0,14946,10,628,6026,0,None,20
2024-01-09 02:00:00,1164,Grocery,Sylhet,0,3203,22,7162,2553,0,Basic,1
2024-01-09 03:00:00,1050,Grocery,Sylhet,0,7395,17,2679,280,0,None,19
2024-01-09 04:00:00,1171,Grocery,Rajshahi,0,19672,26,5266,6818,0,None,14
2024-01-09 05:00:00,1151,Restaurant,Chattogram,1,13862,3,4422,5909,1,Basic,23
2024-01-09 06:00:00,1058,Grocery,Sylhet,0,13939,7,1438,5028,0,None,22
2024-01-09 07:00:00,1117,Pharmacy,Chattogram,0,15788,44,6353,2762,0,None,14
2024-01-09 08:00:00,1159,Grocery,Sylhet,0,1989,8,7463,4703,0,None,1
2024-01-09 09:00:00,1095,Grocery,Rajshahi,0,19620,20,1421,4578,0,None,9
2024-01-09 10:00:00,1179,Grocery,Khulna,1,7798,12,1126,1246,0,None,17
2024-01-09 11:00:00,1112,Grocery,Rajshahi,0,5038,35,2683,1772,0,None,14
2024-01-09 12:00:00,1061,Restaurant,Dhaka,0,6072,17,1780,2164,0,None,13
2024-01-09 13:00:00,1185,Restaurant,Sylhet,0,11567,28,1531,191,0,Premium,13
2024-01-09 14:00:00,1051,Restaurant,Dhaka,1,4499,41,1914,2835,0,None,6
2024-01-09 15:00:00,1011,Pharmacy,Dhaka,0,17557,10,7011,2665,1,None,7
2024-01-09 16:00:00,1038,Grocery,Chattogram,1,7283,22,1232,6113,0,None,2
2024-01-09 17:00:00,1129,Electronics,Sylhet,0,5694,38,1956,2563,0,None,8
2024-01-09 18:00:00,1130,Pharmacy,Dhaka,1,11517,57,6571,306,0,None,24
2024-01-09 19:00:00,1112,Pharmacy,Khulna,0,19990,33,392,531,0,None,6
2024-01-09 20:00:00,1100,Grocery,Dhaka,0,3329,22,825,4217,0,None,3
2024-01-09 21:00:00,1112,Grocery,Khulna,0,304,44,2963,2696,0,Basic,18
2024-01-09 22:00:00,1183,Grocery,Chattogram,0,7633,37,7276,4687,0,None,18
2024-01-09 23:00:00,1080,Grocery,Dhaka,1,7889,13,6008,5571,0,None,22
2024-01-10 00:00:00,1186,Pharmacy,Rajshahi,1,3767,27,2395,58,0,None,23
2024-01-10 01:00:00,1112,Pharmacy,Chattogram,0,17765,15,4145,6444,1,None,6
2024-01-10 02:00:00,1001,Restaurant,Khulna,0,4844,22,7059,6696,0,None,11
2024-01-10 03:00:00,1129,Restaurant,Chattogram,0,15166,30,7272,1573,0,None,3
2024-01-10 04:00:00,1053,Restaurant,Dhaka,1,11530,43,7587,1140,1,Standard,16
2024-01-10 05:00:00,1086,Restaurant,Sylhet,0,4594,40,5492,1810,0,None,5
2024-01-10 06:00:00,1128,Electronics,Sylhet,0,3734,37,5146,5901,0,None,24
2024-01-10 07:00:00,1146,Grocery,Khulna,0,12588,34,7111,3198,0,None,22
2024-01-10 08:00:00,1125,Grocery,Khulna,0,11519,44,4895,3476,0,Basic,2
2024-01-10 09:00:00,1129,Grocery,Sylhet,0,6675,34,1792,4494,0,None,15
2024-01-10 10:00:00,1052,Restaurant,Khulna,0,18358,58,7440,2562,0,None,16
2024-01-10 11:00:00,1171,Electronics,Chattogram,0,14928,48,3064,2852,0,None,7
2024-01-10 12:00:00,1159,Grocery,Rajshahi,1,12206,53,6792,6641,0,None,16
2024-01-10 13:00:00,1197,Electronics,Rajshahi,0,16350,35,1363,941,1,None,24
2024-01-10 14:00:00,1159,Grocery,Chattogram,0,646,42,2348,4623,0,None,4
2024-01-10 15:00:00,1067,Electronics,Rajshahi,0,308,19,3551,6541,1,None,16
2024-01-10 16:00:00,1182,Grocery,Dhaka,1,3439,8,7711,1774,1,None,17
2024-01-10 17:00:00,1183,Grocery,Chattogram,0,6131,39,3628,1421,0,None,2
2024-01-10 18:00:00,1122,Pharmacy,Khulna,0,4253,33,3336,5765,1,None,16
2024-01-10 19:00:00,1144,Grocery,Chattogram,0,13946,44,1565,5646,0,None,4
2024-01-10 20:00:00,1037,Grocery,Sylhet,0,1445,28,3667,435,1,Standard,7
2024-01-10 21:00:00,1023,Grocery,Khulna,0,19304,37,2213,839,0,None,18
2024-01-10 22:00:00,1068,Restaurant,Sylhet,1,14039,48,6459,4001,0,None,6
2024-01-10 23:00:00,1115,Pharmacy,Khulna,1,13056,25,4096,4455,0,None,18
2024-01-11 00:00:00,1097,Grocery,Rajshahi,0,5305,36,1019,5248,0,None,7
2024-01-11 01:00:00,1197,Restaurant,Chattogram,0,3122,17,7928,4959,1,None,2
2024-01-11 02:00:00,1138,Restaurant,Dhaka,1,2713,24,1284,2681,1,None,19
2024-01-11 03:00:00,1143,Grocery,Khulna,0,3001,21,62,1650,0,None,9
2024-01-11 04:00:00,1096,Pharmacy,Khulna,1,14095,2,2530,5828,1,None,4
2024-01-11 05:00:00,1123,Grocery,Sylhet,0,7181,31,7843,1245,0,None,14
2024-01-11 06:00:00,1186,Grocery,Rajshahi,1,8421,44,3392,2261,0,None,5
2024-01-11 07:00:00,1069,Restaurant,Sylhet,1,6238,33,5965,915,0,Premium,7
2024-01-11 08:00:00,1092,Grocery,Sylhet,1,15282,30,3272,2639,0,None,8
2024-01-11 09:00:00,1002,Pharmacy,Rajshahi,0,14848,12,2269,5894,0,None,15
2024-01-11 10:00:00,1147,Restaurant,Dhaka,0,564,44,4247,6278,0,None,19
2024-01-11 11:00:00,1186,Grocery,Sylhet,1,2000,12,643,3889,0,None,11
2024-01-11 12:00:00,1163,Pharmacy,Sylhet,0,14310,51,4721,6897,0,None,20
2024-01-11 13:00:00,1146,Grocery,Khulna,0,6158,57,7629,4481,0,None,23
2024-01-11 14:00:00,1089,Electronics,Rajshahi,1,9296,49,216,1326,0,None,4
2024-01-11 15:00:00,1194,Pharmacy,Chattogram,1,7636,52,195,5901,0,None,18
2024-01-11 16:00:00,1146,Restaurant,Dhaka,1,12838,24,3864,3358,1,None,14
2024-01-11 17:00:00,1147,Pharmacy,Dhaka,0,379,24,3273,1585,1,None,6
2024-01-11 18:00:00,1095,Grocery,Rajshahi,1,4073,58,7138,5308,0,None,16
2024-01-11 19:00:00,1198,Restaurant,Khulna,1,17770,11,5110,3368,0,None,18
2024-01-11 20:00:00,1051,Electronics,Khulna,0,15655,13,2694,5645,1,None,1
2024-01-11 21:00:00,1160,Restaurant,Rajshahi,0,17357,27,7401,388,0,None,8
2024-01-11 22:00:00,1167,Restaurant,Khulna,0,12997,8,3212,2791,0,Basic,1
2024-01-11 23:00:00,1127,Electronics,Dhaka,0,4660,10,2755,3332,0,None,1
2024-01-12 00:00:00,1038,Grocery,Dhaka,1,15516,8,1521,703,0,None,19
2024-01-12 01:00:00,1081,Grocery,Chattogram,0,552,20,5674,5834,0,None,21
2024-01-12 02:00:00,1103,Restaurant,Rajshahi,1,5544,8,1080,2820,0,None,10
2024-01-12 03:00:00,1128,Pharmacy,Sylhet,1,4707,9,5623,4959,0,None,18
2024-01-12 04:00:00,1010,Restaurant,Sylhet,0,5030,7,7309,1059,0,None,12
2024-01-12 05:00:00,1184,Electronics,Chattogram,1,11420,14,721,4174,1,None,17
2024-01-12 06:00:00,1177,Grocery,Chattogram,0,317,28,5703,1298,0,Premium,1
2024-01-12 07:00:00,1150,Grocery,Khulna,1,17065,2,5855,1301,0,None,8
2024-01-12 08:00:00,1158,Restaurant,Chattogram,0,4487,57,1562,673,0,Standard,10
2024-01-12 09:00:00,1041,Grocery,Chattogram,1,4677,43,639,2359,0,None,10
2024-01-12 10:00:00,1098,Restaurant,Sylhet,0,6733,8,6249,4299,1,None,18
2024-01-12 11:00:00,1006,Pharmacy,Khulna,0,16827,13,4260,5080,0,None,9
2024-01-12 12:00:00,1143,Restaurant,Chattogram,1,12955,21,4310,6071,1,None,2
2024-01-12 13:00:00,1089,Grocery,Chattogram,0,1065,47,5190,4112,0,None,3
2024-01-12 14:00:00,1111,Restaurant,Khulna,0,11373,28,3787,4571,0,Basic,2
2024-01-12 15:00:00,1059,Pharmacy,Rajshahi,0,5529,35,3736,3582,0,Basic,6
2024-01-12 16:00:00,1112,Pharmacy,Khulna,1,803,23,7746,1016,0,None,23
2024-01-12 17:00:00,1001,Grocery,Sylhet,0,5956,46,89,209,1,None,12
2024-01-12 18:00:00,1128,Restaurant,Rajshahi,0,11454,15,5891,498,0,None,22
2024-01-12 19:00:00,1047,Electronics,Dhaka,0,4218,2,2921,428,0,None,19
2024-01-12 20:00:00,1139,Grocery,Khulna,0,5392,51,1251,3639,1,None,15
2024-01-12 21:00:00,1196,Grocery,Sylhet,0,2215,12,1102,3151,0,None,19
2024-01-12 22:00:00,1036,Grocery,Rajshahi,0,10050,57,4703,5425,1,Basic,12
2024-01-12 23:00:00,1159,Restaurant,Khulna,0,3580,52,348,2105,0,None,18
2024-01-13 00:00:00,1008,Restaurant,Chattogram,0,3970,36,3913,1553,0,Standard,16
2024-01-13 01:00:00,1098,Pharmacy,Khulna,0,6029,3,4052,5327,0,None,2
2024-01-13 02:00:00,1146,Grocery,Dhaka,1,1813,5,2941,5630,0,None,11
2024-01-13 03:00:00,1047,Grocery,Khulna,0,13347,3,245,3206,0,None,12
2024-01-13 04:00:00,1130,Pharmacy,Rajshahi,0,15745,57,271,5963,0,None,5
2024-01-13 05:00:00,1147,Pharmacy,Rajshahi,0,18463,47,2030,2569,0,Basic,24
2024-01-13 06:00:00,1151,Electronics,Khulna,0,5572,19,4498,2628,0,Standard,6
2024-01-13 07:00:00,1053,Grocery,Rajshahi,1,10738,2,7836,1876,0,None,11
2024-01-13 08:00:00,1119,Restaurant,Chattogram,0,348,44,3187,4994,1,Premium,21
